name,price,status,shipping,free_returns,items_sold
"Mini Pottery Wheel Machine for Adults & Beginners, 2 Turntables 3.94"" & 2.56""...",$55.60,Brand New,0,False,
Innovative Technology ITUT-201 Silver Turntable Vinyl Record Player,$49.99,Open Box,9.4524,False,
Dual Cartridge SLED for Dual Turntables TK14 / TK24 for 1219 1229 etc,$14.78,Brand New,0,False,1054
Victrola Brighton Record Player Turntable Bluetooth 3-Speed RCA Out,$66.29,Open Box,0,True,585
"Fluance Vinyl Record Cleaning Kit with Anti-Static, Velvet & Stylus Brushes",$29.99,Brand New,0,False,
CASEMATIX Carry Case Fits Audio-Technica AT-SB727 YL Sound Burger Record Player,$28.99,Brand New,0,True,76
STYLUS for SONY PS-LX250H PS-LX295 PS-LX300USB ND142G ND155G etc Diamond Needle,$15.89,Brand New,0,False,1262
Turntable Belt PIONEER PL-600 PL-333 PL-590 PL-570 PL-201Z PL-203AZ PL-L90   22,$13.99,Brand New,0,True,659
"Motorized Rotating Display Stand, 360 Degree Electric Rotating Turntable for Pho",$23.12,Brand New,0,True,
Vinyl Record Player  Wireless -Bluetooth Turntable /ION Audio Premier LP,$60.00,Brand New,0,False,
1 by ONE High Fidelity Belt Drive Turntable With Built-In Speakers Vinyl Player,$147.89,Brand New,16.37,True,
MT320RL40P 32cm Electric Turntable Smart Remote Rotating Platform,$49.99,Open Box,7.99,False,
Vinyl Styl Record Player Model SW-196B Vintage Turntable Tested Working,$38.49,Pre-Owned,16.85,False,
Audio-Technica AT-LP120XUSB Turntable - Black,$175.50,Pre-Owned,51.36,False,
"Vinyl Record Player with Speaker Bluetooth Retro Turntable Journey Gift, Black",$57.99,Brand New,0,True,89
STOKYO RECORD MATE Portable Record Player BLACK EDITION RM-1B,$345.00,Brand New,10.2223,False,
Crosley CR8005DBK Cruiser Deluxe 3-Speed Turntable - Black Portable Bluetooth,$35.00,Open Box,14.74,False,
NEW SOL Turntable Motor by Schiit Audio Outboard AC Synchronous (400 available),$49.99,Brand New,11.0,False,
Rare Solid State Made in USA Working GE AC/DC AM Radio & 3 Speed Record Player,$29.50,Pre-Owned,22.5,False,
Technics OVERHANG GAUGE RMR2210-W Technics SL-1200 Turntable Headshell Stand,$6.95,Brand New,7.4524,True,1998
Fluance Vinyl Record Cleaning Kit with 2-in-1 Anti-Static Record & Stylus Brush,$19.99,Brand New,0,False,
"2Pcs Record Player Slip Mat,Felt Slipmats For Vinyl Turntable,Record Player M...",$10.01,Brand New,0,False,
